question,choice_a,choice_b,choice_c,choice_d,correct_answer,image_path,image_page,copyright
What activity are the adults primarily engaged in during the depicted scene?,Dancing,Singing,Watching the children play,Cooking food,c,https://ich.unesco.org/img/photo/thumb/15317-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15317,"Photograph: ‎Yuttharut Hongthongkam© Saensuk Municipality, Thailand, 2019"
Why might the girl in the foreground appear joyful?,She won a prize,She is leading the game,She found a lost item,She is greeting someone,b,https://ich.unesco.org/img/photo/thumb/15317-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15317,"Photograph: ‎Yuttharut Hongthongkam© Saensuk Municipality, Thailand, 2019"
What is the likely purpose of the banner in the background?,Advertise products,Announce the event,Provide instructions,Serve as a backdrop,b,https://ich.unesco.org/img/photo/thumb/15317-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15317,"Photograph: ‎Yuttharut Hongthongkam© Saensuk Municipality, Thailand, 2019"
Which age group is visibly participating in the festivities shown in the image?,Only elderly persons,Only adults,Teenagers only,All age groups including children and adults,d,https://ich.unesco.org/img/photo/thumb/15314-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15314,"Photograph: Adison Chaiboonruang© Phrae Provincial Cultural Office, Thailand, 2019"
What potential reason is there for using bowls to splash water as observed in the image?,Bowls were readily available,Bowls symbolize the giving of blessings,Bowls are cheaper than other instruments,Bowls are less effective thus minimally disruptive,b,https://ich.unesco.org/img/photo/thumb/15314-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15314,"Photograph: Adison Chaiboonruang© Phrae Provincial Cultural Office, Thailand, 2019"
"Based on the expressions and actions in the photo, what is one likely immediate outcome of this event for the participants?",Feeling tired and needing rest,Experiencing rejuvenation and joy,Developing competitive feelings,Wanting to change into dry clothes,b,https://ich.unesco.org/img/photo/thumb/15314-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15314,"Photograph: Adison Chaiboonruang© Phrae Provincial Cultural Office, Thailand, 2019"
What might the young child learn from participating in this ceremony?,Traditional games,Cooking local dishes,The importance of respecting elders,Agricultural techniques,c,https://ich.unesco.org/img/photo/thumb/15313-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15313,"Photograph: Sumetha Petampai© Department of Cultural Promotion, Thailand, 2015"
What could be a reason for the elder woman's hand gesture towards the water?,To block the water from hitting her,To guide the water properly as a part of the ritual,To show she doesn't want to participate,To feel the temperature of the water,b,https://ich.unesco.org/img/photo/thumb/15313-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15313,"Photograph: Sumetha Petampai© Department of Cultural Promotion, Thailand, 2015"
Why might this ceremony primarily take place outdoors?,To accommodate more people,Because it involves fire,It usually rains,The indoors is reserved for eating,a,https://ich.unesco.org/img/photo/thumb/15313-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15313,"Photograph: Sumetha Petampai© Department of Cultural Promotion, Thailand, 2015"
"Based on the image, what might the weather be like during this event?",Cold and snowy,Mild and windy,Hot and sunny,Rainy and humid,c,https://ich.unesco.org/img/photo/thumb/15313-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15313,"Photograph: Sumetha Petampai© Department of Cultural Promotion, Thailand, 2015"
What might the choice of a communal outdoor place suggest about this event?,It requires a lot of space for participants,It is a sports event,It is exclusively for the community elders,It is a private family function,a,https://ich.unesco.org/img/photo/thumb/15313-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15313,"Photograph: Sumetha Petampai© Department of Cultural Promotion, Thailand, 2015"
What is the main purpose of bringing sand to temples during this festival?,To create artworks as offerings.,To donate for temple restoration or public works.,To use in religious rituals.,To prepare for religious festivities.,b,https://ich.unesco.org/img/photo/thumb/15316-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15316,"Photograph: Udomdaj Ketkaeo© Phetchaburi Provincial Cultural Office, Thailand, 2019"
What do the flags in the image symbolize in the context of this festival?,Traditional kite decoration,Specific family clans participating,The festive nature of Songkran,Directions for temple entrances,c,https://ich.unesco.org/img/photo/thumb/15316-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15316,"Photograph: Udomdaj Ketkaeo© Phetchaburi Provincial Cultural Office, Thailand, 2019"
"Considering that the sand will be donated later, what value does this add to the activity besides the immediate joy and participation?",Environmental conservation,Educational learning for children,Sustained community and temple support,Enhancement of tourist attraction,c,https://ich.unesco.org/img/photo/thumb/15316-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15316,"Photograph: Udomdaj Ketkaeo© Phetchaburi Provincial Cultural Office, Thailand, 2019"
Which aspect of the event would most likely facilitate cultural transmission to younger generations?,The specific design of sand pagodas,Active family involvement and teaching,Spectating rather than participating,Media coverage of the event,b,https://ich.unesco.org/img/photo/thumb/15316-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15316,"Photograph: Udomdaj Ketkaeo© Phetchaburi Provincial Cultural Office, Thailand, 2019"
"How does the community likely view the after-use of the sand used in pagoda construction, based on cultural practices shown?",As a waste material,As a reusable resource for next year,As a sacred contribution to temple maintenance,As material for commercial sale,c,https://ich.unesco.org/img/photo/thumb/15316-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15316,"Photograph: Udomdaj Ketkaeo© Phetchaburi Provincial Cultural Office, Thailand, 2019"
"What might be the primary ingredient used in making “Ka-La-Mae”, a traditional sweet depicted in the image?",Rice flour,Coconut sugar,Wheat flour,Cane sugar,b,https://ich.unesco.org/img/photo/thumb/15315-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15315,"Photograph: Bunchai Tongcharoen Buangarm© Bunchai Tongcharoen buangarm, Thailand, 2019"
"Given the setting in the image, what could the large container’s content be used for?",To prepare a savory soup,To store water,To make a traditional drink,To cook a sweet treat for the community,d,https://ich.unesco.org/img/photo/thumb/15315-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=15315,"Photograph: Bunchai Tongcharoen Buangarm© Bunchai Tongcharoen buangarm, Thailand, 2019"
What dance form is Khaem Praditsin performing in this image?,Khon,Lakhon,Menora,Likay,c,https://ich.unesco.org/img/photo/thumb/14181-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14181,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2017"
What specific movement is Khaem Praditsin demonstrating in the image?,Mai Muang,Bot Phan Na,Chui Chai,Ram Vong,b,https://ich.unesco.org/img/photo/thumb/14181-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14181,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2017"
Which province is Khaem Praditsin demonstrating “Bot Phan Na”?,Phuket,Krabi,Surat Thani,Chiang Mai,b,https://ich.unesco.org/img/photo/thumb/14181-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14181,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2017"
Which level of Nora art is “Ram Tham Bot” considered?,Beginner,Intermediate,Advanced,Professional,c,https://ich.unesco.org/img/photo/thumb/14181-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14181,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2017"
"What is the probable emotional theme of the ""Bot Phan Na"" movement demonstrated by Khaem Praditsin?",Grief,Serenity,Exultation,Anger,c,https://ich.unesco.org/img/photo/thumb/14181-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14181,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2017"
What time of the day is the performance likely based on the lighting used in the photo?,Morning,Afternoon,Night,Evening,c,https://ich.unesco.org/img/photo/thumb/14181-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14181,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2017"
What role does the background play in the image?,Emphasizes darkness,Provides a sense of place,Accentuates the performer,Indicates time of year,c,https://ich.unesco.org/img/photo/thumb/14181-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14181,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2017"
Which expression seems to dominate the performers’ faces?,Joy,Seriousness,Sadness,Pride,d,https://ich.unesco.org/img/photo/thumb/14180-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14180,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2017"
How are the sashes worn by most dancers positioned?,Across the left shoulder,Around the waist,Across the right shoulder,Hanging from the neck,c,https://ich.unesco.org/img/photo/thumb/14180-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14180,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2017"
How many dancers are visibly wearing golden wristbands?,Every dancer,Half of the dancers,Only the lead dancers,No dancers,a,https://ich.unesco.org/img/photo/thumb/14180-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14180,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2017"
What is the significance of wearing vibrant colors in Nora performances based on visual clues?,To symbolize different roles,To reflect cultural richness,To distinguish between groups,No particular significance,b,https://ich.unesco.org/img/photo/thumb/14180-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14180,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2017"
Which folk tale does this Nora ritual scene derive from?,Ramakien,Phra Aphai Mani,Sang Thong,Kri Thong,d,https://ich.unesco.org/img/photo/thumb/14183-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14183,"Photograph: Udom Zunsuwan© Institute of Southern Thai Studies,Thaksin University, 2015"
What action is the Nora master performing in the image related to the narrative of the folk tale?,He is preparing for a battle against a mythical creature,He is conducting a ceremony for peace,He is celebrating a victory over an enemy,He is commencing a traditional Nora dance,a,https://ich.unesco.org/img/photo/thumb/14183-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14183,"Photograph: Udom Zunsuwan© Institute of Southern Thai Studies,Thaksin University, 2015"
What creature is targeted in the Nora ritual shown in the image?,A dragon,A giant,A crocodile,A serpent,c,https://ich.unesco.org/img/photo/thumb/14183-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14183,"Photograph: Udom Zunsuwan© Institute of Southern Thai Studies,Thaksin University, 2015"
Why might the character need to sharpen seven spears for the narrative to progress?,It signifies the days of the week,Each spear represents a different virtue,It's a metaphor for overcoming multiple challenges,The number is traditionally lucky in this culture,c,https://ich.unesco.org/img/photo/thumb/14183-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14183,"Photograph: Udom Zunsuwan© Institute of Southern Thai Studies,Thaksin University, 2015"
The setting of this performance seems rustic. What does this imply about the nature of the event?,It is impromptu and informal,It is an integral part of local traditions,It is a modern adaptation,It is a rehearsal space,b,https://ich.unesco.org/img/photo/thumb/14183-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14183,"Photograph: Udom Zunsuwan© Institute of Southern Thai Studies,Thaksin University, 2015"
Why might the number seven be significant in the context of the spears used in the ritual?,It’s a symbolic number in global cultures,It often signifies completion or perfection in local folklore,Represents the number of participants allowed,It’s the number of scenes in the performance,b,https://ich.unesco.org/img/photo/thumb/14183-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14183,"Photograph: Udom Zunsuwan© Institute of Southern Thai Studies,Thaksin University, 2015"
"In which region of Thailand is the ""Phuk Pha Khrop Serd"" ceremony observed?",Northeastern Thailand,Northern Thailand,Central Thailand,Southern Thailand,d,https://ich.unesco.org/img/photo/thumb/14182-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14182,"Photograph: Wiradet Thongkam© The Faculty of Fine Arts, Thaksin University, Songkhla,  Thailand, 2010"
Which province is this ceremony particularly associated with?,Chiang Mai,Bangkok,Songkhla,Pattaya,c,https://ich.unesco.org/img/photo/thumb/14182-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14182,"Photograph: Wiradet Thongkam© The Faculty of Fine Arts, Thaksin University, Songkhla,  Thailand, 2010"
The stance adopted by the students with one leg slightly lifted is primarily used to convey what?,Aggression,Elegance and balance,Readiness to end the performance,Fatigue,b,https://ich.unesco.org/img/photo/thumb/14188-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14188,"Photograph: Chokdi Chuaiduang© The Faculty of Fine Arts, Thaksin University, Songkhla, Thailand, 2009"
How do the facial expressions of the dancers contribute to the performance?,They express individual emotions,They enhance the storytelling aspect,They distract from the dance techniques,They are irrelevant to the dance form,b,https://ich.unesco.org/img/photo/thumb/14188-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14188,"Photograph: Chokdi Chuaiduang© The Faculty of Fine Arts, Thaksin University, Songkhla, Thailand, 2009"
What element in the background contextually aligns with the dance theme being taught?,The cloudy sky,The brick flooring,The wooden structure,The lush greenery,d,https://ich.unesco.org/img/photo/thumb/14188-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14188,"Photograph: Chokdi Chuaiduang© The Faculty of Fine Arts, Thaksin University, Songkhla, Thailand, 2009"
What aspect of Nora dance might draw from the historical contexts of Southern Thailand?,The musical accompaniments,The storytelling techniques,The choice of dance venues,The duration of performances,b,https://ich.unesco.org/img/photo/thumb/14188-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14188,"Photograph: Chokdi Chuaiduang© The Faculty of Fine Arts, Thaksin University, Songkhla, Thailand, 2009"
What is the primary purpose of using artificial fingernails in Nora performances?,To enhance hand movements,To produce sound,To protect performer’s nails,Purely decorative,a,https://ich.unesco.org/img/photo/thumb/14184-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14184,"Photograph: Worawudh Pusirorungsee© Ruendorkrak Songkhla, Thailand, 2017"
Which costume piece in the image demonstrates the richest amount of embroidery?,Waist sash,Front waist sash,Shawl,Headdress,d,https://ich.unesco.org/img/photo/thumb/14184-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14184,"Photograph: Worawudh Pusirorungsee© Ruendorkrak Songkhla, Thailand, 2017"
Which element in the Nora costume supports the idea of additional adornments for performance enhancement?,Lower arm bangle,Artificial fingernails,Girdle,White underpants,b,https://ich.unesco.org/img/photo/thumb/14184-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14184,"Photograph: Worawudh Pusirorungsee© Ruendorkrak Songkhla, Thailand, 2017"
"If a Nora costume's aesthetic appeal had to be enhanced minimally but effectively, which addition would be most suitable?",Extra brocade,Additional necklaces,Larger shawl,More colorful underpants,b,https://ich.unesco.org/img/photo/thumb/14184-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14184,"Photograph: Worawudh Pusirorungsee© Ruendorkrak Songkhla, Thailand, 2017"
"In a practical scenario, which Nora costume item would likely be the most cumbersome during long performances?",Headdress,Bangles,White underpants,Brocade,a,https://ich.unesco.org/img/photo/thumb/14184-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14184,"Photograph: Worawudh Pusirorungsee© Ruendorkrak Songkhla, Thailand, 2017"
Which instrument is being played by the musician second from the right in the image?,O Thap,O Ching,O Klong,O Pi,d,https://ich.unesco.org/img/photo/thumb/14187-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14187,"Photograph: Monthon Yingyoud© Department of Cultural Promotion, Thailand, 2011"
"In a traditional Nora performance as pictured, which kind of drum is played by the musician second from the left?",O Thap,O Ching,O Mong,O Klong,a,https://ich.unesco.org/img/photo/thumb/14187-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14187,"Photograph: Monthon Yingyoud© Department of Cultural Promotion, Thailand, 2011"
"From the depicted instruments and the attire in the image, what is an essential component of a Nora performance?",O A wide variety of musical instruments,O A blend of music and dance,O Multiple dancers on stage,O Use of modern musical instruments,b,https://ich.unesco.org/img/photo/thumb/14187-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14187,"Photograph: Monthon Yingyoud© Department of Cultural Promotion, Thailand, 2011"
"If another musician were to join the group in the image, which instrument would they most likely play to maintain the ensemble's authenticity?",O Violin,O Guitar,O Pi,O Flute,c,https://ich.unesco.org/img/photo/thumb/14187-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14187,"Photograph: Monthon Yingyoud© Department of Cultural Promotion, Thailand, 2011"
What color predominates in the dance costume of the performer standing in the image?,O Blue,O Red,O Green,O Yellow,b,https://ich.unesco.org/img/photo/thumb/14187-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14187,"Photograph: Monthon Yingyoud© Department of Cultural Promotion, Thailand, 2011"
Which instrument played by a single musician in this setting often accompanies both rhythmic and melodic lines?,O Thap,O Mong,O Ching,O Pi,c,https://ich.unesco.org/img/photo/thumb/14187-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14187,"Photograph: Monthon Yingyoud© Department of Cultural Promotion, Thailand, 2011"
"If the musicians in the image were to increase the tempo using their instruments, which would be most affected in terms of production quality?",O Thap,O Mong,O Pi,O Ching,d,https://ich.unesco.org/img/photo/thumb/14187-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14187,"Photograph: Monthon Yingyoud© Department of Cultural Promotion, Thailand, 2011"
"If analyzing the performance style, what characteristic distinguishes Nora from other traditional Thai dances?",O Use of elaborate costumes,O Inclusion of male performers,O Presence of a narrative component,O Accompaniment by traditional instruments,a,https://ich.unesco.org/img/photo/thumb/14187-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14187,"Photograph: Monthon Yingyoud© Department of Cultural Promotion, Thailand, 2011"
"If the group were to add a vocal segment to their performance, where would it most appropriately fit within the structure observed?",O Before the instrumental introduction,O After a solo dance performance,O During a transition between musical pieces,O As a closing piece,c,https://ich.unesco.org/img/photo/thumb/14187-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14187,"Photograph: Monthon Yingyoud© Department of Cultural Promotion, Thailand, 2011"
Which instrument is being played by the musician second from the left in the image?,Klong (drum),Thap (twin drums),Pi (Southern Thai oboe),Ching (small cymbals),d,https://ich.unesco.org/img/photo/thumb/14186-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14186,"Photograph: Naresa Seaphu© The Faculty of Fine Arts, Thaksin University, Songkhla,Thailand, 2018"
How many different types of drums are visible among the instruments in the image?,One,Two,Three,Four,b,https://ich.unesco.org/img/photo/thumb/14186-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14186,"Photograph: Naresa Seaphu© The Faculty of Fine Arts, Thaksin University, Songkhla,Thailand, 2018"
"If one of the instruments had to be associated with keeping a rhythmic beat, which would it be among these?",Mong,Pi,Trae,Ching,d,https://ich.unesco.org/img/photo/thumb/14186-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14186,"Photograph: Naresa Seaphu© The Faculty of Fine Arts, Thaksin University, Songkhla,Thailand, 2018"
Which of the following best describes the role of the ‘trae’ in this music ensemble?,Wind instrument,Percussion for melody,Rhythm keeper,Lead musical narrative,c,https://ich.unesco.org/img/photo/thumb/14186-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14186,"Photograph: Naresa Seaphu© The Faculty of Fine Arts, Thaksin University, Songkhla,Thailand, 2018"
"Considering the visible instruments, which is likely to be the lead in the musical arrangement?",Mong,Klong,Pi,Ching,c,https://ich.unesco.org/img/photo/thumb/14186-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14186,"Photograph: Naresa Seaphu© The Faculty of Fine Arts, Thaksin University, Songkhla,Thailand, 2018"
Which pair of instruments would likely have similar sounds due to their design?,Pi and klong,Thap and trae,Mong and ching,Pi and ching,c,https://ich.unesco.org/img/photo/thumb/14186-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14186,"Photograph: Naresa Seaphu© The Faculty of Fine Arts, Thaksin University, Songkhla,Thailand, 2018"
What do the traditional checks on the musicians’ lower garments likely signify?,Personal fashion choice,School affiliation,Cultural identity,Role differentiation,c,https://ich.unesco.org/img/photo/thumb/14186-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14186,"Photograph: Naresa Seaphu© The Faculty of Fine Arts, Thaksin University, Songkhla,Thailand, 2018"
What skill is primarily being utilized in the image to create a Nora costume?,Knitting,Crocheting,Stringing,Weaving,c,https://ich.unesco.org/img/photo/thumb/14185-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14185,"Photograph: Gingthong Mahapornpai san© Department of Cultural Promotion, Thailand, 2016"
What pattern is featured in the creation of the costume to ensure its aesthetic appeal and durability?,Two-to-two pattern,Three-to-three pattern,Four-to-four pattern,Five-to-five pattern,b,https://ich.unesco.org/img/photo/thumb/14185-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14185,"Photograph: Gingthong Mahapornpai san© Department of Cultural Promotion, Thailand, 2016"
What is the cultural significance of the activity shown in the image?,It's a form of traditional pottery making,It’s a traditional dance preparation,It's part of a musical instrument preparation,It's a traditional costume preparation,d,https://ich.unesco.org/img/photo/thumb/14185-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14185,"Photograph: Gingthong Mahapornpai san© Department of Cultural Promotion, Thailand, 2016"
"In terms of craftsmanship, what does the “three-to-three” pattern refer to?",The ratio of beads to string length,The number of threads per bead,The alignment technique for bead colors,The layout of beads on the thread,d,https://ich.unesco.org/img/photo/thumb/14185-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14185,"Photograph: Gingthong Mahapornpai san© Department of Cultural Promotion, Thailand, 2016"
Which of the following tools are not visible but might be necessary for the task shown in the image?,A loom,Needle nose pliers,A sewing needle,Scissors,b,https://ich.unesco.org/img/photo/thumb/14185-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14185,"Photograph: Gingthong Mahapornpai san© Department of Cultural Promotion, Thailand, 2016"
What adjective best describes the beaded costumes produced by the technique shown?,Simple,Splendid,Plain,Minimalistic,b,https://ich.unesco.org/img/photo/thumb/14185-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14185,"Photograph: Gingthong Mahapornpai san© Department of Cultural Promotion, Thailand, 2016"
Which of the following would be an indirect benefit of engaging young people in the craft shown in the image?,Enhanced technical skills,Improved physical fitness,Knowledge of foreign languages,Understanding of modern technologies,a,https://ich.unesco.org/img/photo/thumb/14185-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=14185,"Photograph: Gingthong Mahapornpai san© Department of Cultural Promotion, Thailand, 2016"
